Year,Month,Description,buyers,quantity,revenue
2010,12,WHITE HANGING HEART T-LIGHT HOLDER,155,3611,9602.05
2010,12,REGENCY CAKESTAND 3 TIER,119,1570,17756.7
2010,12,PAPER CHAIN KIT 50'S CHRISTMAS,117,1697,4614.150000000001
2010,12,SCOTTIE DOG HOT WATER BOTTLE,115,827,3908.8500000000004
2010,12,HAND WARMER BABUSHKA DESIGN,114,3367,4172.7
2010,12,CHOCOLATE HOT WATER BOTTLE,99,963,4430.85
2010,12,JAM MAKING SET PRINTED,95,1459,2077.1499999999996
2010,12,PAPER CHAIN KIT VINTAGE CHRISTMAS,95,1194,3246.3
2010,12,HEART OF WICKER SMALL,94,1574,2613.66
2010,12,HEART OF WICKER LARGE,92,1055,3130.5299999999997
2011,1,WHITE HANGING HEART T-LIGHT HOLDER,150,5467,14979.75
2011,1,SET OF 3 CAKE TINS PANTRY DESIGN,123,1078,4899.3
2011,1,HEART OF WICKER SMALL,109,2830,4901.98
2011,1,REGENCY CAKESTAND 3 TIER,98,946,10765.5
2011,1,SET OF 3 HEART COOKIE CUTTERS,93,1075,1302.71
2011,1,NATURAL SLATE HEART CHALKBOARD,89,753,2125.3500000000004
2011,1,RED HANGING HEART T-LIGHT HOLDER,84,1587,4790.25
2011,1,HEART OF WICKER LARGE,83,1752,5490.240000000001
2011,1,SET OF 6 SPICE TINS PANTRY DESIGN,77,724,2631.8
2011,1,JAM MAKING SET WITH JARS,74,665,2640.25
2011,2,SET OF 3 CAKE TINS PANTRY DESIGN,119,661,3078.75
2011,2,WHITE HANGING HEART T-LIGHT HOLDER,113,1823,4912.65
2011,2,REGENCY CAKESTAND 3 TIER,106,839,9559.65
2011,2,HEART OF WICKER SMALL,87,1200,1893.6
2011,2,SET OF 6 SPICE TINS PANTRY DESIGN,80,508,1916.6000000000001
2011,2,JUMBO BAG RED RETROSPOT,78,2971,5191.05
2011,2,HEART OF WICKER LARGE,74,688,1952.8000000000002
2011,2,LUNCH BAG RED RETROSPOT,72,1076,1675.4
2011,2,JAM MAKING SET WITH JARS,71,652,2576.0
2011,2,JAM MAKING SET PRINTED,70,1090,1522.8999999999999
2011,3,WHITE HANGING HEART T-LIGHT HOLDER,154,1918,5262.5
2011,3,REGENCY CAKESTAND 3 TIER,153,1296,14797.4
2011,3,SET OF 3 CAKE TINS PANTRY DESIGN,148,754,3614.7000000000003
2011,3,PARTY BUNTING,119,1357,6129.150000000001
2011,3,SET OF 4 PANTRY JELLY MOULDS,117,1398,1679.1000000000001
2011,3,JUMBO BAG RED RETROSPOT,106,4924,8496.88
2011,3,PAPER CHAIN KIT EMPIRE,103,1310,3656.5000000000005
2011,3,JAM MAKING SET WITH JARS,101,966,3802.5
2011,3,ASSORTED COLOUR BIRD ORNAMENT,100,2502,3997.98
2011,3,SET OF 6 SPICE TINS PANTRY DESIGN,100,493,1911.3500000000001
2011,4,PARTY BUNTING,151,1611,7278.450000000001
2011,4,WHITE HANGING HEART T-LIGHT HOLDER,142,3725,9581.65
2011,4,REGENCY CAKESTAND 3 TIER,138,1098,12721.5
2011,4,PAPER CHAIN KIT EMPIRE,127,2387,6426.45
2011,4,ASSORTED COLOUR BIRD ORNAMENT,104,2368,3886.72
2011,4,LUNCH BAG RED RETROSPOT,95,924,1504.6
2011,4,PACK OF 72 RETROSPOT CAKE CASES,94,2816,1373.6000000000001
2011,4,SET OF 4 PANTRY JELLY MOULDS,87,1139,1369.03
2011,4,JUMBO BAG RED RETROSPOT,83,2211,4141.78
2011,4,PLEASE ONE PERSON METAL SIGN,73,1041,2087.1000000000004
2011,5,PARTY BUNTING,187,3021,13437.95
2011,5,SPOTTY BUNTING,184,1549,7187.550000000001
2011,5,WHITE HANGING HEART T-LIGHT HOLDER,176,3846,10700.42
2011,5,REGENCY CAKESTAND 3 TIER,158,996,11503.6
2011,5,LUNCH BAG DOILEY PATTERN,140,2292,3601.8
2011,5,JUMBO BAG DOILEY PATTERNS,132,2412,4573.36
2011,5,ASSORTED COLOUR BIRD ORNAMENT,129,3036,4977.24
2011,5,LUNCH BAG APPLE DESIGN,129,1993,3188.45
2011,5,JUMBO BAG RED RETROSPOT,122,3470,6585.2
2011,5,LUNCH BAG RED RETROSPOT,119,2197,3439.05
2011,6,PARTY BUNTING,165,1818,8271.1
2011,6,SPOTTY BUNTING,142,1066,5071.900000000001
2011,6,JUMBO BAG DOILEY PATTERNS,126,1948,3828.1400000000003
2011,6,WHITE HANGING HEART T-LIGHT HOLDER,119,1618,4401.900000000001
2011,6,LUNCH BAG DOILEY PATTERN,116,1614,2599.1
2011,6,JUMBO BAG RED RETROSPOT,115,3529,6628.42
2011,6,REGENCY CAKESTAND 3 TIER,110,712,8229.1
2011,6,LUNCH BAG RED RETROSPOT,108,1477,2337.05
2011,6,SET OF 3 REGENCY CAKE TINS,107,1430,6246.5
2011,6,GARDENERS KNEELING PAD KEEP CALM,101,1022,1604.6999999999998
2011,7,PARTY BUNTING,145,2305,10311.150000000001
2011,7,SPOTTY BUNTING,143,1392,6362.400000000001
2011,7,WHITE HANGING HEART T-LIGHT HOLDER,133,2971,8303.97
2011,7,LUNCH BAG DOILEY PATTERN,130,2041,3267.65
2011,7,JUMBO BAG RED RETROSPOT,119,2970,5654.6
2011,7,SET OF 3 REGENCY CAKE TINS,119,1176,5318.8
2011,7,JUMBO BAG DOILEY PATTERNS,118,2145,4219.2
2011,7,REGENCY CAKESTAND 3 TIER,110,1076,12225.0
2011,7,LUNCH BAG RED RETROSPOT,107,1663,2631.95
2011,7,LUNCH BAG  BLACK SKULL.,105,1310,2099.5
2011,8,SPOTTY BUNTING,135,1351,6214.450000000001
2011,8,JUMBO BAG RED RETROSPOT,134,5278,9871.44
2011,8,WHITE HANGING HEART T-LIGHT HOLDER,121,2046,5498.1
2011,8,LUNCH BAG RED RETROSPOT,118,1975,3144.75
2011,8,PARTY BUNTING,115,1379,6306.05
2011,8,REGENCY CAKESTAND 3 TIER,108,775,8934.449999999999
2011,8,LUNCH BAG CARS BLUE,103,1447,2307.55
2011,8,LUNCH BAG SUKI DESIGN,102,1622,2566.3
2011,8,SET OF 3 REGENCY CAKE TINS,100,640,3001.6
2011,8,LUNCH BAG VINTAGE DOILY,98,1509,2389.85
2011,9,HOT WATER BOTTLE KEEP CALM,181,1326,6141.3
2011,9,JUMBO BAG RED RETROSPOT,174,4177,7992.01
2011,9,JUMBO BAG VINTAGE DOILY,152,2679,5293.92
2011,9,WHITE HANGING HEART T-LIGHT HOLDER,142,2444,6789.0
2011,9,PAPER CHAIN KIT 50'S CHRISTMAS,135,2064,5742.76
2011,9,REGENCY CAKESTAND 3 TIER,124,730,8570.13
2011,9,LUNCH BAG RED RETROSPOT,122,1744,2761.04
2011,9,LUNCH BAG VINTAGE DOILY,121,1717,2753.0499999999997
2011,9,ASSORTED COLOUR BIRD ORNAMENT,120,3016,4866.64
2011,9,SPOTTY BUNTING,119,864,4060.8
2011,10,PAPER CHAIN KIT 50'S CHRISTMAS,180,3243,8854.49
2011,10,HOT WATER BOTTLE KEEP CALM,158,1317,6041.55
2011,10,JUMBO BAG RED RETROSPOT,147,5237,9763.06
2011,10,ASSORTED COLOUR BIRD ORNAMENT,138,2663,4385.2699999999995
2011,10,REGENCY CAKESTAND 3 TIER,132,1028,11920.65
2011,10,PAPER CHAIN KIT VINTAGE CHRISTMAS,129,1681,4597.150000000001
2011,10,WHITE HANGING HEART T-LIGHT HOLDER,127,1650,4564.54
2011,10,JUMBO BAG 50'S CHRISTMAS,126,2346,4591.7300000000005
2011,10,DOORMAT KEEP CALM AND COME IN,125,1503,11006.119999999999
2011,10,HAND WARMER OWL DESIGN,122,1630,3269.84
2011,11,RABBIT NIGHT LIGHT,324,12393,23268.73
2011,11,PAPER CHAIN KIT 50'S CHRISTMAS,276,5919,16139.01
2011,11,HOT WATER BOTTLE KEEP CALM,216,2102,9500.1
2011,11,PAPER CHAIN KIT VINTAGE CHRISTMAS,195,3181,8654.11
2011,11,JUMBO BAG 50'S CHRISTMAS,192,2972,5984.56
2011,11,WHITE HANGING HEART T-LIGHT HOLDER,191,4861,13855.83
2011,11,ASSORTED COLOUR BIRD ORNAMENT,177,5190,8252.7
2011,11,LUNCH BAG PAISLEY PARK,177,2275,3611.75
2011,11,JUMBO BAG PAISLEY PARK,175,2543,5033.14
2011,11,WOODEN STAR CHRISTMAS SCANDINAVIAN,174,4981,1473.35
2011,12,RABBIT NIGHT LIGHT,103,3691,6889.76
2011,12,PAPER CHAIN KIT 50'S CHRISTMAS,92,1393,3856.4700000000003
2011,12,HOT WATER BOTTLE KEEP CALM,71,468,2182.2000000000003
2011,12,PAPER CHAIN KIT VINTAGE CHRISTMAS,70,739,2028.5700000000002
2011,12,HAND WARMER OWL DESIGN,64,773,1581.39
2011,12,BICYCLE PUNCTURE REPAIR KIT,61,1145,2203.44
2011,12,JUMBO BAG 50'S CHRISTMAS,56,998,1893.84
2011,12,CHOCOLATE HOT WATER BOTTLE,52,468,2131.8
2011,12,HAND WARMER RED LOVE HEART,51,466,978.6000000000001
2011,12,HAND WARMER BIRD DESIGN,49,727,1460.7900000000002
